follower_id,following_id
87,88
146,39
8,154
172,116
94,146
156,65
72,53
170,173
94,118
93,1
87,183
109,2
66,58
71,78
186,100
78,190
63,140
122,73
105,13
67,112
142,79
52,17
52,25
49,188
152,77
92,88
187,88
129,184
141,137
33,1
139,120
116,95
194,103
31,186
169,183
148,87
93,130
157,2
43,30
141,170
95,184
143,69
41,153
36,13
59,146
41,153
150,168
81,198
182,100
70,90
40,4
199,104
75,123
113,46
169,176
77,166
1,156
10,126
70,84
183,130
29,156
141,162
9,199
142,171
162,140
161,12
71,187
63,159
95,55
109,116
173,38
183,27
93,44
18,66
115,54
120,168
182,19
95,80
58,184
12,177
7,6
80,2
108,1
83,159
88,111
153,1
102,197
131,122
146,6
185,27
156,104
151,188
74,113
75,140
4,19
143,197
108,57
87,78
72,140
171,120
133,191
66,108
48,165
34,121
119,63
17,80
28,149
144,11
116,172
138,10
136,46
150,72
146,176
42,17
38,63
132,195
47,2
35,127
120,155
180,176
162,10
131,42
78,121
193,159
8,154
2,142
151,120
167,109
106,4
74,80
113,46
23,155
187,162
57,26
24,62
114,93
115,92
16,95
42,3
64,183
193,120
147,116
171,189
66,133
79,43
123,156
177,79
118,130
139,74
51,21
81,175
111,189
35,53
178,135
109,21
147,118
187,79
188,190
121,108
171,32
1,68
105,118
91,109
20,170
164,64
112,100
66,48
188,84
33,128
75,174
138,125
71,97
141,180
99,45
21,133
196,196
85,23
94,178
180,195
200,163
175,28
89,117
122,24
92,139
54,128
159,74
12,29
147,91
3,30
100,183
102,10
66,50
59,133
35,179
114,56
9,97
180,82
89,32
83,191
179,105
159,141
138,92
142,16
37,75
197,105
182,168
82,32
10,27
48,186
60,137
132,185
110,83
200,165
130,30
130,47
29,78
143,190
200,195
93,15
106,112
45,128
173,54
28,176
99,24
199,61
200,64
18,116
122,33
81,124
142,181
175,112
134,113
57,148
118,99
3,26
71,178
170,191
63,153
93,105
99,194
81,49
192,167
76,181
11,53
102,151
81,26
2,200
125,167
187,105
175,8
133,72
184,39
35,61
32,159
155,119
185,150
56,149
79,80
156,131
115,138
64,166
114,114
56,138
110,131
144,126
92,32
90,3
92,91
107,133
75,60
139,130
162,82
5,160
34,149
196,163
123,104
23,90
146,26
163,50
32,16
58,107
197,64
86,68
5,127
141,37
118,130
48,145
147,129
197,54
194,37
68,139
151,147
26,105
105,83
56,145
177,109
180,184
166,38
66,20
45,5
111,187
63,148
39,15
113,195
176,141
27,55
66,27
72,55
90,108
198,27
200,71
2,164
49,133
173,31
97,5
137,45
32,112
40,44
138,123
155,9
160,178
68,97
160,57
108,3
71,54
199,109
115,35
184,122
12,143
177,115
193,84
182,50
95,22
157,34
90,105
15,61
34,99
184,147
13,50
99,133
57,17
135,129
137,147
132,38
194,200
149,159
175,150
29,57
79,175
78,145
25,154
133,95
71,14
138,112
51,24
26,136
132,103
96,107
61,100
38,196
114,147
43,26
141,179
145,200
21,17
83,158
58,16
156,24
80,135
137,31
41,123
92,176
192,9
21,57
65,12
126,105
98,160
122,142
86,187
74,43
81,32
136,47
186,57
188,200
58,51
67,45
70,23
19,112
8,158
85,121
179,105
10,138
107,161
110,190
188,24
59,167
149,105
197,67
175,198
124,1
152,56
196,1
117,56
88,185
18,3
91,143
92,24
150,144
67,130
183,63
20,62
140,96
194,115
149,53
178,100
2,136
68,151
130,200
44,185
58,133
176,35
169,28
138,79
191,65
172,115
164,199
133,97
107,50
81,186
26,9
86,15
62,4
135,7
54,18
187,83
96,120
61,148
166,169
108,30
143,37
163,41
118,155
16,186
151,175
108,63
132,189
102,176
75,41
93,191
116,136
56,19
85,100
49,71
96,94
89,108
32,194
138,31
142,138
119,165
179,41
139,9
51,168
114,70
179,64
41,164
118,1
125,22
107,100
50,5
6,105
61,51
99,196
10,104
102,178
44,153
31,147
195,193
118,77
153,124
14,6
26,28
160,25
77,101
87,38
95,61
89,141
181,111
31,182
58,134
139,64
44,69
40,132
161,91
115,91
1,33
140,117
191,57
132,164
